N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
1337,15575,94.499,18.174,6.77,29.512,0.809,1.193,10.651,59.462,33.383,2.371,4.567,6.932,88.38,0.06,50.189,11,1,4,4,152,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1338,15576,94.464,17.167,6.754,30.04,0.84,1.257,10.026,59.536,32.743,2.623,5.255,6.119,88.536,0.06,49.736,6,5,2,18,41,WA_2021,WA,2021,WA_2021,94.545,16.336,6.496,29.365,0.815,1.319,9.841,59.995,31.847,2.858,5.147,6.489,88.398,0.056,48.447,94.472,22.669,8.466,27.523,0.824,1.21,12.745,56.492,38.046,1.88,3.487,8.653,87.923,0.058,49.958
1339,15577,93.6,22.878,8.657,26.55,0.791,1.222,12.4,54.85,39.651,1.71,3.447,10.379,86.193,0.06,51.913,1,1,2,2,29,WA_2021,WA,2021,WA_2021,94.013,20.267,7.98,30.654,0.859,1.216,11.634,57.725,35.503,1.945,4.264,8.463,87.206,0.056,48.822,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057
1342,15580,94.569,16.069,6.594,29.357,0.785,1.215,9.558,60.36,31.778,2.493,5.081,6.497,88.26,0.059,51.559,3,4,1,13,66,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1343,15581,94.755,16.565,6.483,29.255,0.862,1.316,10.127,61.479,30.44,3.077,5.263,5.639,88.92,0.051,47.765,8,2,2,6,180,WA_2021,WA,2021,WA_2021,94.749,16.855,7.003,31.132,0.872,1.327,10.204,60.15,31.294,2.799,5.241,5.861,88.882,0.054,46.846,94.847,17.784,7.139,28.213,0.769,1.254,10.554,59.118,33.553,2.522,4.416,7.29,88.414,0.059,50.767
1344,15582,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13,3,3,4,12,202,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1347,15585,94.108,20.199,8.254,30.236,0.815,1.253,10.151,51.414,42.051,2.153,4.225,11.817,83.955,0.059,51.082,3,2,2,6,189,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1350,15588,94,20.351,8.848,31.387,0.872,1.139,10.902,53.399,40.846,1.712,4.311,11.255,84.453,0.058,52.634,3,1,4,4,177,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1351,15589,94.855,15.643,5.862,26.563,0.809,1.269,8.899,58.081,32.912,3.16,5.512,6.157,88.148,0.055,48.991,8,3,3,11,141,WA_2021,WA,2021,WA_2021,94.749,16.855,7.003,31.132,0.872,1.327,10.204,60.15,31.294,2.799,5.241,5.861,88.882,0.054,46.846,94.847,17.784,7.139,28.213,0.769,1.254,10.554,59.118,33.553,2.522,4.416,7.29,88.414,0.059,50.767
1353,15591,94.348,17.525,7.2,27.948,0.832,1.304,10.709,60.11,31.787,2.869,4.805,6.756,88.336,0.06,49.543,9,5,1,17,86,WA_2021,WA,2021,WA_2021,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379
