gen,BLUE,weight,env
164,0.0592727394810276,121231.254534652,ID_2020
165,0.0607727304843187,99451.9644415884,ID_2020
166,0.0672727464482615,111632.0438058,ID_2020
167,0.0577727267537009,121225.74424264,ID_2020
168,0.0622727411126942,121231.077155871,ID_2020
169,0.0687727297024695,125324.910480685,ID_2020
17,0.0672727455230873,113827.11341374,ID_2020
170,0.0707727304843187,99451.9644415884,ID_2020
171,0.0712727324075541,116935.662293988,ID_2020
172,0.0667727315557569,125324.796247445,ID_2020
173,0.0692727463952789,113826.796206256,ID_2020
174,0.0572727427893788,121230.869826912,ID_2020
175,0.0587727370404582,121559.174625587,ID_2020
176,0.0652727335109898,116935.62067893,ID_2020
177,0.0637727326652609,125324.723262428,ID_2020
178,0.050272750011179,111631.461772751,ID_2020
179,0.0582727411126942,121231.077155871,ID_2020
18,0.0642727472624974,113826.435366911,ID_2020
180,0.0627727297024695,125324.910480684,ID_2020
181,0.0657727381707414,121559.067731263,ID_2020
182,0.0677727297428414,99451.9835144156,ID_2020
183,0.0612727272133621,125187.95079655,ID_2020
184,0.0667727297428415,99451.9835144156,ID_2020
185,0.070272734649609,116935.569265927,ID_2020
186,0.0632727383840976,125460.254188643,ID_2020
187,0.066772730570433,125324.858060274,ID_2020
188,0.0647727271513898,121225.738968913,ID_2020
189,0.07127274464029,113827.390284538,ID_2020
19,0.064272734649609,116935.569265927,ID_2020
190,0.067772731393009,99451.9400401766,ID_2020
191,0.0662727275321118,125187.925443464,ID_2020
192,0.0737727297428414,99451.9835144156,ID_2020
193,0.063272728004494,125187.893923206,ID_2020
194,0.064272734649609,116935.569265927,ID_2020
195,0.0632727354015974,125460.521283985,ID_2020
196,0.0612727275321118,125187.925443464,ID_2020
197,0.0662727463952789,113826.796206256,ID_2020
198,0.0597727324019028,99451.9102619688,ID_2020
2,0.0652727286180546,125187.856234634,ID_2020
20,0.066272731339119,116935.6962834,ID_2020
201,0.0630000097383977,1410554.24400647,ID_2020
202,0.0635454639462848,1410560.4767741,ID_2020
21,0.0602727335109898,116935.62067893,ID_2020
22,0.0667727315557568,125324.796247445,ID_2020
23,0.0637727297024695,125324.910480684,ID_2020
24,0.0672727463952789,113826.796206256,ID_2020
25,0.0752727455230874,113827.11341374,ID_2020
26,0.0607727265443233,121225.742096632,ID_2020
27,0.0647727358870807,121559.262725996,ID_2020
28,0.0592727411126942,121231.077155871,ID_2020
29,0.0672727383840976,125460.254188643,ID_2020
3,0.061772726520604,121225.732545935,ID_2020
30,0.0607727267537009,121225.74424264,ID_2020
31,0.0642727455230874,113827.113413739,ID_2020
32,0.0712727472624974,113826.435366911,ID_2020
33,0.0632727445033077,121230.628676146,ID_2020
34,0.0617727326652609,125324.723262428,ID_2020
35,0.0657727381707413,121559.067731264,ID_2020
36,0.0697727297428414,99451.9835144156,ID_2020
37,0.0622727437348549,116765.197570328,ID_2020
