gen,BLUE,weight,env
167,3.67072740160007,9.2317062639449,ID_2020
168,3.71872706375136,9.83700907003678,ID_2020
169,2.97522710892692,8.78185548788624,ID_2020
17,3.74872711490398,9.2861792830356,ID_2020
170,2.64172720200782,7.13092056475753,ID_2020
171,3.85222694499488,9.32906925160213,ID_2020
172,3.81222707285595,8.78184963443362,ID_2020
173,3.04772720289437,9.28615111294636,ID_2020
174,3.54872700026376,9.83699070441754,ID_2020
175,2.58772675069887,9.74599238869581,ID_2020
176,3.3002269116059,9.32906585172225,ID_2020
177,3.52522704876937,8.78184509923266,ID_2020
178,4.00572698271861,8.26347651688049,ID_2020
179,3.12872706375135,9.83700907003677,ID_2020
18,4.29572729201665,9.28611916039973,ID_2020
180,3.77722710892692,8.78185548788622,ID_2020
181,3.47472677354249,9.74598254903472,ID_2020
182,2.41372726973556,7.13092136085344,ID_2020
183,3.60422730932574,9.73671708685833,ID_2020
184,2.85372726973556,7.13092136085344,ID_2020
185,3.83422689232309,9.32906156975892,ID_2020
186,3.72422705660968,9.29675346837904,ID_2020
187,3.24622709408163,8.78185304737866,ID_2020
188,3.65272735198837,9.23170666895881,ID_2020
189,3.65372702915356,9.28620396099858,ID_2020
19,3.82822689232309,9.32906156975892,ID_2020
190,2.7217271274138,7.1309191003917,ID_2020
191,3.58922732234129,9.73671598837277,ID_2020
192,2.34472726973556,7.13092136085344,ID_2020
193,3.5542273274026,9.73671442837976,ID_2020
194,3.48922689232309,9.32906156975892,ID_2020
195,4.0012271188649,9.29677185383835,ID_2020
196,3.97622732234129,9.73671598837277,ID_2020
197,3.42572720289437,9.28615111294636,ID_2020
198,2.65172705512712,7.13091694957985,ID_2020
2,4.29222732591709,9.73671238122877,ID_2020
20,4.09722699224835,9.32907192626467,ID_2020
201,3.78927253176538,108.402567659799,ID_2020
202,3.41318159713382,108.403046655163,ID_2020
21,3.7392269116059,9.32906585172224,ID_2020
22,3.32322707285595,8.78184963443362,ID_2020
23,3.67822710892692,8.78185548788622,ID_2020
24,3.64272720289437,9.28615111294636,ID_2020
25,3.30272711490398,9.2861792830356,ID_2020
26,4.22072744236544,9.23170528832481,ID_2020
27,3.83872674157079,9.74600073726935,ID_2020
28,3.56672706375135,9.83700907003677,ID_2020
29,3.40722705660968,9.29675346837903,ID_2020
3,4.6647274741041,9.23170377597541,ID_2020
30,3.57572740160007,9.23170626394489,ID_2020
31,3.25172711490398,9.28617928303559,ID_2020
32,3.31172729201665,9.28611916039974,ID_2020
33,2.75072692781013,9.83696934678742,ID_2020
34,3.38222704876937,8.78184509923265,ID_2020
35,2.93472677354249,9.74598254903472,ID_2020
36,2.30872726973556,7.13092136085344,ID_2020
37,3.30872700697675,9.54371709421711,ID_2020
38,3.15572675069887,9.74599238869581,ID_2020
39,3.34222710892691,8.78185548788622,ID_2020
4,4.25572744236544,9.23170528832481,ID_2020
