gen,BLUE,weight,env
165,11.3014090564878,35.2597231921798,ID_2020
166,10.4364090481851,26.8351341779242,ID_2020
167,11.3454090704284,31.6934553724559,ID_2020
168,11.8059090457539,35.1760598221565,ID_2020
169,11.027409101471,33.9629285987208,ID_2020
17,11.1329091177127,30.5719571765307,ID_2020
170,11.1824090564878,35.2597231921798,ID_2020
171,11.1094090475481,34.089379097604,ID_2020
172,10.9634090842376,33.9628850123992,ID_2020
173,11.3179090856234,30.5718796170449,ID_2020
174,11.7269090552905,35.1760039263507,ID_2020
175,11.7874090948708,33.0313553687406,ID_2020
176,11.6934090509374,34.0893557975786,ID_2020
177,11.375409073318,33.9628573297115,ID_2020
178,10.9464090886829,26.8350531612555,ID_2020
179,11.6259090457539,35.1760598221565,ID_2020
18,10.7259090498962,30.5717907958979,ID_2020
180,10.207409101471,33.9629285987207,ID_2020
181,11.2674091093761,33.0313359461017,ID_2020
182,11.2774090650403,35.2597270009084,ID_2020
183,10.8964091013274,35.2934007443655,ID_2020
184,11.0454090650403,35.2597270009084,ID_2020
185,11.2834090573702,34.0893289921622,ID_2020
186,11.2364090519139,34.0526901859307,ID_2020
187,11.3104090939906,33.9629086195416,ID_2020
188,11.3274090597382,31.6934523331441,ID_2020
189,11.5109091425229,30.5720243921492,ID_2020
19,11.4014090573702,34.0893289921621,ID_2020
190,11.2744090494702,35.2597181476326,ID_2020
191,11.1964091034599,35.2933946123296,ID_2020
192,11.4954090650403,35.2597270009084,ID_2020
193,11.2854091032282,35.293387214911,ID_2020
194,11.6064090573702,34.0893289921621,ID_2020
195,10.9944090639313,34.052742177278,ID_2020
196,10.9274091034599,35.2933946123296,ID_2020
197,10.7279090856234,30.5718796170449,ID_2020
198,11.2114090445493,35.2597117862021,ID_2020
2,10.7664091006209,35.2933785462868,ID_2020
20,11.3494090470068,34.0893993505274,ID_2020
201,11.105272710884,392.474562668402,ID_2020
202,11.1855454470541,392.476296898662,ID_2020
21,11.3904090509374,34.0893557975786,ID_2020
22,11.3544090842376,33.9628850123992,ID_2020
23,11.464409101471,33.9629285987207,ID_2020
24,10.8889090856234,30.5718796170449,ID_2020
25,10.8769091177127,30.5719571765307,ID_2020
26,10.4884090794874,31.693454879484,ID_2020
27,11.1994090813411,33.0313706436787,ID_2020
28,11.9409090457539,35.1760598221565,ID_2020
29,12.3494090519139,34.0526901859307,ID_2020
3,10.7104090862831,31.6934509229349,ID_2020
30,11.3434090704284,31.6934553724559,ID_2020
31,11.3539091177127,30.5719571765307,ID_2020
32,11.1629090498962,30.5717907958979,ID_2020
33,11.6839090684875,35.1759377617534,ID_2020
34,11.158409073318,33.9628573297115,ID_2020
35,11.1444091093761,33.0313359461017,ID_2020
36,11.4634090650403,35.2597270009084,ID_2020
37,11.4379091140708,32.0053704444192,ID_2020
38,11.1744090948708,33.0313553687406,ID_2020
39,11.183409101471,33.9629285987207,ID_2020
4,10.7834090794874,31.693454879484,ID_2020
40,11.3084091116108,26.8350001408374,ID_2020
41,10.7494090639313,34.052742177278,ID_2020
42,11.0204090704284,31.6934553724559,ID_2020
43,10.8724090671516,26.8350975757068,ID_2020
44,11.0624091116108,26.8350001408374,ID_2020
45,11.7054090475481,34.089379097604,ID_2020
46,11.7494090573702,34.0893289921621,ID_2020
